name,year,rating,m_score,votes
The Godfather,1972,100.0,100.0,1908453
Casablanca,1942,100.0,100.0,583285
Rear Window,1954,100.0,100.0,501749
Citizen Kane,1941,100.0,100.0,450527
Vertigo,1958,100.0,100.0,410772
Lawrence of Arabia,1962,100.0,100.0,301002
Fanny och Alexander,1982,100.0,100.0,65417
The Wizard of Oz,1939,92.0,92.0,410248
Singin' in the Rain,1952,99.0,99.0,248864
The Treasure of the Sierra Madre,1948,98.0,98.0,127882
Shichinin no samurai,1954,98.0,98.0,352716
North by Northwest,1959,98.0,98.0,334469
Metropolis,1927,98.0,98.0,178222
All About Eve,1950,98.0,98.0,134024
Pan's Labyrinth,2006,98.0,98.0,680781
Psycho,1960,97.0,97.0,687413
Some Like It Hot,1959,98.0,98.0,273065
The Third Man,1949,97.0,97.0,175327
Gone with the Wind,1939,97.0,97.0,322332
12 Angry Men,1957,97.0,97.0,812463
Sen to Chihiro no kamikakushi,2001,96.0,96.0,789285
Modern Times,1936,96.0,96.0,248243
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,97.0,97.0,500242
Ran,1985,97.0,97.0,129090
12 Years a Slave,2013,96.0,96.0,715535
The Maltese Falcon,1941,97.0,97.0,162223
WALL·E,2008,95.0,95.0,1142274
Toy Story,1995,96.0,96.0,1017582
Double Indemnity,1944,95.0,95.0,160794
Jodaeiye Nader az Simin,2011,95.0,95.0,249428
The Grapes of Wrath,1940,96.0,96.0,96104
The Lord of the Rings: The Return of the King,2003,94.0,94.0,1886375
Pulp Fiction,1994,95.0,95.0,2108742
Apocalypse Now,1979,94.0,94.0,681953
Taxi Driver,1976,94.0,94.0,863536
Inside Out,I) (2015,94.0,94.0,735900
Schindler's List,1993,95.0,95.0,1384573
Amadeus,1984,88.0,88.0,409604
Monty Python and the Holy Grail,1975,91.0,91.0,551689
There Will Be Blood,2007,93.0,93.0,602157
Spotlight,I) (2015,93.0,93.0,482024
The Lord of the Rings: The Fellowship of the Ring,2001,92.0,92.0,1915083
Toy Story 3,2010,92.0,92.0,854649
Chinatown,1974,92.0,92.0,334601
Platoon,1986,92.0,92.0,423145
The Best Years of Our Lives,1946,93.0,93.0,67081
Saving Private Ryan,1998,91.0,91.0,1422804
On the Waterfront,1954,91.0,91.0,158456
No Country for Old Men,2007,92.0,92.0,1001174
Cool Hand Luke,1967,92.0,92.0,181666
The Godfather Part II,1974,90.0,90.0,1300400
"Il buono, il brutto, il cattivo",1966,90.0,90.0,776942
Star Wars,1977,90.0,90.0,1393030
L.A. Confidential,1997,91.0,91.0,593012
Finding Nemo,2003,90.0,90.0,1065990
The Truman Show,1998,90.0,90.0,1116479
Ben-Hur,1959,90.0,90.0,245075
Mad Max: Fury Road,2015,90.0,90.0,1029641
Before Sunset,2004,90.0,90.0,273759
